Y-tunnus,company_name,address,website,registrationDate,detailsUri,companyForm
2086238-8,MUURAUS / LAATOITUS OSJU OY,,,2007-02-02,http://avoindata.prh.fi/opendata/tr/v1/2086238-8,OY
2091603-2,NG-Insulation Oy,,,2007-02-01,http://avoindata.prh.fi/opendata/tr/v1/2091603-2,OY
2135533-7,Helsingin Katto- ja rakennustakuu Oy,,,2007-09-10,http://avoindata.prh.fi/opendata/tr/v1/2135533-7,OY
2134464-6,Kokkolan Katto ja Kouru Oy,,,2007-09-07,http://avoindata.prh.fi/opendata/tr/v1/2134464-6,OY
2150469-7,HANNUN SANEERAUS JA LAATOITUSTYÖ OY,,,2007-10-31,http://avoindata.prh.fi/opendata/tr/v1/2150469-7,OY
2142324-8,Etelä-Suomen Kouru- ja Kattoturva Oy,,,2007-10-16,http://avoindata.prh.fi/opendata/tr/v1/2142324-8,OY
2145525-8,Avoimet Ovet LKV Oy,,,2007-10-10,http://avoindata.prh.fi/opendata/tr/v1/2145525-8,OY
2164478-8,Remonttiset Oy,,,2007-12-31,http://avoindata.prh.fi/opendata/tr/v1/2164478-8,OY
2162521-0,Remontti Norppa Oy,,,2007-12-18,http://avoindata.prh.fi/opendata/tr/v1/2162521-0,OY
2161219-6,nora flooring systems Oy,,,2007-12-14,http://avoindata.prh.fi/opendata/tr/v1/2161219-6,OY
2162477-9,Helsingin Kattotyö Oy,,,2007-12-14,http://avoindata.prh.fi/opendata/tr/v1/2162477-9,OY
2159976-1,Maalaus ja remontti Hirvonen Oy,,,2007-12-04,http://avoindata.prh.fi/opendata/tr/v1/2159976-1,OY
2130804-7,Raision seudun Laatoitusurakointi Oy,,,2007-08-21,http://avoindata.prh.fi/opendata/tr/v1/2130804-7,OY
2130994-7,Prosessi- ja vesitekniikka Provetek Oy,,,2007-08-08,http://avoindata.prh.fi/opendata/tr/v1/2130994-7,OY
2128192-1,Kattokanava Oy,,,2007-08-01,http://avoindata.prh.fi/opendata/tr/v1/2128192-1,OY
2128645-8,Remontti ja Asennus K. Silvan Oy,,,2007-07-24,http://avoindata.prh.fi/opendata/tr/v1/2128645-8,OY
2105686-3,Remontti Avux Oy,,,2007-03-29,http://avoindata.prh.fi/opendata/tr/v1/2105686-3,OY
2097287-8,Asunto Oy Mustasaaren Paulinhovi-Bostads Ab Korsholms Paulshovet,,,2007-03-06,http://avoindata.prh.fi/opendata/tr/v1/2097287-8,AOY
2097306-1,Asunto Oy Mustasaaren Eemelinhovi - Bostads Ab Korsholms Emilshovet,,,2007-03-06,http://avoindata.prh.fi/opendata/tr/v1/2097306-1,AOY
2097296-6,Asunto Oy Mustasaaren Jaarlenhovi - Bostads Ab Korsholms Jarlshovet,,,2007-03-06,http://avoindata.prh.fi/opendata/tr/v1/2097296-6,AOY
2085657-8,Kiinteistöhuolto & Remontti Kinnuset Oy,,,2007-01-12,http://avoindata.prh.fi/opendata/tr/v1/2085657-8,OY
2084264-3,Lahden Laatoituspalvelu Oy,,,2007-01-05,http://avoindata.prh.fi/opendata/tr/v1/2084264-3,OY
2082421-8,Rakennus- ja Remonttipalvelu Laitinen Oy,,,2007-01-01,http://avoindata.prh.fi/opendata/tr/v1/2082421-8,OY
2168408-5,Pisa Kattoremontti Oy,,,2008-02-11,http://avoindata.prh.fi/opendata/tr/v1/2168408-5,OY
2220514-6,Knauf Insulation Oy,,,2008-09-24,http://avoindata.prh.fi/opendata/tr/v1/2220514-6,OY
2220050-5,Mikonpoika Kattotyöt Oy,,,2008-09-23,http://avoindata.prh.fi/opendata/tr/v1/2220050-5,OY
2211919-2,Remonttipalvelu H.Kokkonen Oy,,,2008-09-04,http://avoindata.prh.fi/opendata/tr/v1/2211919-2,OY
2205238-9,Muuraus- ja laatoitustyö Sakari Taskila Oy,,,2008-08-22,http://avoindata.prh.fi/opendata/tr/v1/2205238-9,OY
2209077-2,Rakennus ja Remontti KotiValmis Oy,,,2008-08-20,http://avoindata.prh.fi/opendata/tr/v1/2209077-2,OY
2210511-0,AJ-Remontti Oy,,,2008-08-12,http://avoindata.prh.fi/opendata/tr/v1/2210511-0,OY
2230620-3,Remonttipalvelu Stark Oy,,,2008-11-07,http://avoindata.prh.fi/opendata/tr/v1/2230620-3,OY
2225664-8,Helsingin Remontti-10 Oy,,,2008-10-31,http://avoindata.prh.fi/opendata/tr/v1/2225664-8,OY
2226986-0,Pu-Re PutkiRemontti Oy,,,2008-10-23,http://avoindata.prh.fi/opendata/tr/v1/2226986-0,OY
2223810-8,Solvikin Kattohuolto Oy,,,2008-10-10,http://avoindata.prh.fi/opendata/tr/v1/2223810-8,OY
2221637-1,Aito Konesaumakatto Oy,,,2008-10-02,http://avoindata.prh.fi/opendata/tr/v1/2221637-1,OY
2239665-9,Katto ja Remonttipalvelu A Jokinen Oy,,,2008-12-18,http://avoindata.prh.fi/opendata/tr/v1/2239665-9,OY
2202600-9,Montolan Kattoveljet Oy,,,2008-07-15,http://avoindata.prh.fi/opendata/tr/v1/2202600-9,OY
2199264-3,Hämeen Remonttitiimi Oy,,,2008-06-17,http://avoindata.prh.fi/opendata/tr/v1/2199264-3,OY
2184633-9,Laatoituspalvelu Eksymä Oy,,,2008-03-28,http://avoindata.prh.fi/opendata/tr/v1/2184633-9,OY
2182610-0,Remonttipalvelut Jouni Väisänen Oy,,,2008-03-14,http://avoindata.prh.fi/opendata/tr/v1/2182610-0,OY
2181096-9,Remonttipalvelu M. Vilppola Oy,,,2008-03-12,http://avoindata.prh.fi/opendata/tr/v1/2181096-9,OY
2175729-9,Remontti-Center Oulu Oy,,,2008-03-11,http://avoindata.prh.fi/opendata/tr/v1/2175729-9,OY
2180802-5,Emovet Oy,,,2008-03-07,http://avoindata.prh.fi/opendata/tr/v1/2180802-5,OY
2179969-1,Kattopalatsi Oy,,,2008-03-05,http://avoindata.prh.fi/opendata/tr/v1/2179969-1,OY
2177663-3,SUOMEN KATTOMESTARIT OY,,,2008-03-03,http://avoindata.prh.fi/opendata/tr/v1/2177663-3,OY
2178961-0,PK-Remontti ja saneeraus Oy,,,2008-02-28,http://avoindata.prh.fi/opendata/tr/v1/2178961-0,OY
2174971-5,Järvi-Suomen Kattosaneeraus Oy,,,2008-02-20,http://avoindata.prh.fi/opendata/tr/v1/2174971-5,OY
2189990-8,Uudenmaan Luxuslaatoitus Oy,,,2008-04-22,http://avoindata.prh.fi/opendata/tr/v1/2189990-8,OY
2186524-9,EKOVETO PALVELUT OY,,,2008-04-15,http://avoindata.prh.fi/opendata/tr/v1/2186524-9,OY
2233824-8,JM REMONTTI JA SISUSTUSPALVELU OY,,,2009-01-07,http://avoindata.prh.fi/opendata/tr/v1/2233824-8,OY
2239823-2,REMONTTI- JA LVI-PALVELU JYRKI RANTANEN OY,,,2009-01-07,http://avoindata.prh.fi/opendata/tr/v1/2239823-2,OY
2284606-6,Katto Kuntoon Jukka Rämö Oy,,,2009-09-28,http://avoindata.prh.fi/opendata/tr/v1/2284606-6,OY
2295755-9,Uudenmaan Kattopalvelu Oy,,,2009-11-05,http://avoindata.prh.fi/opendata/tr/v1/2295755-9,OY
2290753-5,Oulun Remonttipiste Oy,,,2009-10-19,http://avoindata.prh.fi/opendata/tr/v1/2290753-5,OY
2273324-8,RAKENNUS JA LAATOITUS A. MERE OY,,,2009-07-03,http://avoindata.prh.fi/opendata/tr/v1/2273324-8,OY
2273035-4,Remontti Vesa Oy,,,2009-06-24,http://avoindata.prh.fi/opendata/tr/v1/2273035-4,OY
2252295-0,Remontti - Serra Oy,,,2009-02-25,http://avoindata.prh.fi/opendata/tr/v1/2252295-0,OY
2245264-9,Remontti Jarkko Oy,,,2009-01-23,http://avoindata.prh.fi/opendata/tr/v1/2245264-9,OY
2241445-8,Espoon Laaturemontti Oy,,,2009-01-21,http://avoindata.prh.fi/opendata/tr/v1/2241445-8,OY
2259050-7,JL Rakennus ja Laatoitus Oy,,,2009-04-01,http://avoindata.prh.fi/opendata/tr/v1/2259050-7,OY
2312502-5,Turun Kattoremontti Oy,,,2010-02-05,http://avoindata.prh.fi/opendata/tr/v1/2312502-5,OY
2306177-0,Finno Roofing Oy,,,2010-01-25,http://avoindata.prh.fi/opendata/tr/v1/2306177-0,OY
2307680-9,REMONTTI EINO OY,,,2010-01-20,http://avoindata.prh.fi/opendata/tr/v1/2307680-9,OY
2349975-6,Movetta Oy,,,2010-09-09,http://avoindata.prh.fi/opendata/tr/v1/2349975-6,OY
2361058-1,Remonttipalvelu Jutoro Oy,,,2010-10-19,http://avoindata.prh.fi/opendata/tr/v1/2361058-1,OY
2368570-0,Remonttitaikurit Oy,,,2010-12-20,http://avoindata.prh.fi/opendata/tr/v1/2368570-0,OY
2347042-7,Reippaat Remonttimiehet Oy Asikkala,,,2010-08-20,http://avoindata.prh.fi/opendata/tr/v1/2347042-7,OY
2343611-4,Vaasan Huoneistoremontti Oy,,,2010-07-09,http://avoindata.prh.fi/opendata/tr/v1/2343611-4,OY
2334250-5,Oulun Kattopalvelu Oy,,,2010-05-26,http://avoindata.prh.fi/opendata/tr/v1/2334250-5,OY
2330591-5,Varma Vesikatto Oy,,,2010-05-24,http://avoindata.prh.fi/opendata/tr/v1/2330591-5,OY
2320666-9,TN-Remonttipalvelu Oy,,,2010-03-17,http://avoindata.prh.fi/opendata/tr/v1/2320666-9,OY
2319883-0,HH - Taitoremontti Oy,,,2010-03-11,http://avoindata.prh.fi/opendata/tr/v1/2319883-0,OY
2331864-4,Kattoässät Oy,,,2010-05-19,http://avoindata.prh.fi/opendata/tr/v1/2331864-4,OY
2331081-0,Kerabit Kattohuolto Oy,,,2010-05-11,http://avoindata.prh.fi/opendata/tr/v1/2331081-0,OY
2329781-2,Helsingin Kattoturvatuote Oy,,,2010-04-30,http://avoindata.prh.fi/opendata/tr/v1/2329781-2,OY
2328037-5,Rovet Oy,,,2010-04-29,http://avoindata.prh.fi/opendata/tr/v1/2328037-5,OY
2321895-0,TJS-Remonttipalvelu Oy,,,2010-04-16,http://avoindata.prh.fi/opendata/tr/v1/2321895-0,OY
2344847-3,Hellsten Flooring Ltd. Oy,,,2011-02-28,http://avoindata.prh.fi/opendata/tr/v1/2344847-3,OY
2390320-2,Koillismaan Kattopalvelu Oy,,,2011-02-23,http://avoindata.prh.fi/opendata/tr/v1/2390320-2,OY
2385575-7,Remontti ja Maalaus Satorex Oy,,,2011-02-07,http://avoindata.prh.fi/opendata/tr/v1/2385575-7,OY
2382165-3,AKT Remontti Oy,,,2011-02-01,http://avoindata.prh.fi/opendata/tr/v1/2382165-3,OY
2422373-5,Riihimäen Remonttipalvelu Oy,,,2011-10-01,http://avoindata.prh.fi/opendata/tr/v1/2422373-5,OY
2426808-7,Nallen Remontti ja Rakennus Oy,,,2011-09-27,http://avoindata.prh.fi/opendata/tr/v1/2426808-7,OY
2427818-9,Kattobest Oy,,,2011-09-16,http://avoindata.prh.fi/opendata/tr/v1/2427818-9,OY
2424649-4,Ounasremontti Oy,,,2011-09-12,http://avoindata.prh.fi/opendata/tr/v1/2424649-4,OY
2426039-2,Arctic Doors Oy,,,2011-09-05,http://avoindata.prh.fi/opendata/tr/v1/2426039-2,OY
2434542-5,Suomen kattopalvelu Oy,,,2011-11-08,http://avoindata.prh.fi/opendata/tr/v1/2434542-5,OY
2404102-6,Hämeen Kattokeskus Oy,,,2011-10-31,http://avoindata.prh.fi/opendata/tr/v1/2404102-6,OY
2432874-8,Kimmon kattomaalaus ja -huolto Oy,,,2011-10-14,http://avoindata.prh.fi/opendata/tr/v1/2432874-8,OY
2432892-4,Kerabit Katto Oy,,,2011-10-13,http://avoindata.prh.fi/opendata/tr/v1/2432892-4,OY
2439981-0,Bostads Ab Nykarleby Stjärnhovet Asunto Oy,,,2011-11-22,http://avoindata.prh.fi/opendata/tr/v1/2439981-0,AOY
2411768-4,MCC rakennus ja remontti Oy,,,2011-06-17,http://avoindata.prh.fi/opendata/tr/v1/2411768-4,OY
2412906-0,KMK Remontti Oy,,,2011-06-15,http://avoindata.prh.fi/opendata/tr/v1/2412906-0,OY
2409848-7,Hämeen maalaus- ja remonttipalvelu Oy,,,2011-06-03,http://avoindata.prh.fi/opendata/tr/v1/2409848-7,OY
2398584-2,Tuusulan Remonttipalvelu Oy,,,2011-04-06,http://avoindata.prh.fi/opendata/tr/v1/2398584-2,OY
2392085-4,Laatoitus Pertti Viitala Oy,,,2011-03-08,http://avoindata.prh.fi/opendata/tr/v1/2392085-4,OY
2383187-8,Korsu Ovet Oy,,,2011-01-28,http://avoindata.prh.fi/opendata/tr/v1/2383187-8,OY
2382032-7,Ilmastointi ja remontti Extra Oy,,,2011-01-25,http://avoindata.prh.fi/opendata/tr/v1/2382032-7,OY
2369291-9,Helsingin Kattohuolto Oy,,,2011-01-21,http://avoindata.prh.fi/opendata/tr/v1/2369291-9,OY
2380187-1,Päijät-Hämeen Laatulaatoitus Oy,,,2011-01-17,http://avoindata.prh.fi/opendata/tr/v1/2380187-1,OY
2403959-1,Remontti Koskinen oy,,,2011-05-17,http://avoindata.prh.fi/opendata/tr/v1/2403959-1,OY
2406090-5,Outdoors Evo Oy,,,2011-05-13,http://avoindata.prh.fi/opendata/tr/v1/2406090-5,OY
2402845-4,Jyrykatto Oy,,,2011-04-29,http://avoindata.prh.fi/opendata/tr/v1/2402845-4,OY
2462149-3,Remonttipalvelu Tolamo Oy,,,2012-03-02,http://avoindata.prh.fi/opendata/tr/v1/2462149-3,OY
2458900-8,ES-Kattokeskus oy,,,2012-02-03,http://avoindata.prh.fi/opendata/tr/v1/2458900-8,OY
2501476-7,AstonLux Doors Oy,,,2012-10-09,http://avoindata.prh.fi/opendata/tr/v1/2501476-7,OY
2492339-5,Rakennus Ja Laatoitus Leinonen & Kaukonen Oy,,,2012-09-03,http://avoindata.prh.fi/opendata/tr/v1/2492339-5,OY
2510076-1,Remonttityö Raimo J. Rantanen Oy,,,2012-11-15,http://avoindata.prh.fi/opendata/tr/v1/2510076-1,OY
2508600-7,Tarkka Katto Oy,,,2012-11-07,http://avoindata.prh.fi/opendata/tr/v1/2508600-7,OY
2518955-9,Remonttipalvelu Amaranth Oy,,,2012-12-31,http://avoindata.prh.fi/opendata/tr/v1/2518955-9,OY
2509132-4,MY-Remontti Oy,,,2012-12-07,http://avoindata.prh.fi/opendata/tr/v1/2509132-4,OY
2484524-3,Bostads Ab Korsholms Bölehovet Asunto Oy,,,2012-08-14,http://avoindata.prh.fi/opendata/tr/v1/2484524-3,AOY
2479282-3,E-kattotiivistykset Oy,,,2012-06-13,http://avoindata.prh.fi/opendata/tr/v1/2479282-3,OY
2468317-6,KM Roofing Oy Ab,,,2012-04-02,http://avoindata.prh.fi/opendata/tr/v1/2468317-6,OY
2468087-2,Sievin Remontti Oy,,,2012-03-26,http://avoindata.prh.fi/opendata/tr/v1/2468087-2,OY
2467985-5,Lapin Kattoturva Oy,,,2012-03-23,http://avoindata.prh.fi/opendata/tr/v1/2467985-5,OY
2465709-0,Hämeen Kattokonsultti Oy,,,2012-03-21,http://avoindata.prh.fi/opendata/tr/v1/2465709-0,OY
2465211-8,KATTOTEX Oy,,,2012-03-21,http://avoindata.prh.fi/opendata/tr/v1/2465211-8,OY
2454454-7,HL-Ikkunat Oy,,,2012-01-26,http://avoindata.prh.fi/opendata/tr/v1/2454454-7,OY
2452036-9,Remontti Fix Oy,,,2012-01-20,http://avoindata.prh.fi/opendata/tr/v1/2452036-9,OY
2450855-4,Asunto Oy Vaasan Koivuhovi - Bostads Ab Vasa Björkhovet,,,2012-01-11,http://avoindata.prh.fi/opendata/tr/v1/2450855-4,AOY
2452496-8,Uudenmaan Kattohuolto Oy,,,2012-01-10,http://avoindata.prh.fi/opendata/tr/v1/2452496-8,OY
2450304-0,Rakennus ja Laatoitus M Elo Oy,,,2012-01-09,http://avoindata.prh.fi/opendata/tr/v1/2450304-0,OY
2464850-6,Zero Outdoors Oy,,,2012-05-31,http://avoindata.prh.fi/opendata/tr/v1/2464850-6,OY
2472617-2,Remontti Rex Oy,,,2012-04-30,http://avoindata.prh.fi/opendata/tr/v1/2472617-2,OY
2534214-6,OUSE Insulation Oy,,,2013-03-21,http://avoindata.prh.fi/opendata/tr/v1/2534214-6,OY
2532539-7,REMONTTIKOLMIKKO OY,,,2013-02-27,http://avoindata.prh.fi/opendata/tr/v1/2532539-7,OY
2570339-4,Remontti-Helgkari Oy,,,2013-10-08,http://avoindata.prh.fi/opendata/tr/v1/2570339-4,OY
2566043-5,Kerabit Kattoelementit Oy,,,2013-10-03,http://avoindata.prh.fi/opendata/tr/v1/2566043-5,OY
2566113-9,Rakennus- ja remonttityö Arto Väyrynen Oy,,,2013-09-11,http://avoindata.prh.fi/opendata/tr/v1/2566113-9,OY
2577098-4,J&J Laatoitus ja Rakennus Oy,,,2013-11-07,http://avoindata.prh.fi/opendata/tr/v1/2577098-4,OY
2578803-3,Rakennus Remontti Pekka Kaski Oy,,,2013-11-01,http://avoindata.prh.fi/opendata/tr/v1/2578803-3,OY
2576673-1,Laatoitus ja Rakennus Piira Oy,,,2013-10-30,http://avoindata.prh.fi/opendata/tr/v1/2576673-1,OY
2576720-8,Uudenmaan Remonttiapu Oy,,,2013-10-28,http://avoindata.prh.fi/opendata/tr/v1/2576720-8,OY
2570764-3,SUOMEN KATTOPROJEKTI OY,,,2013-10-22,http://avoindata.prh.fi/opendata/tr/v1/2570764-3,OY
2576294-1,Pirkanmaan Laatuikkunat Oy,,,2013-10-21,http://avoindata.prh.fi/opendata/tr/v1/2576294-1,OY
2590640-7,Jovete Oy,,,2013-12-30,http://avoindata.prh.fi/opendata/tr/v1/2590640-7,OY
2587045-9,Pirkan remontti yhtiöt Oy,,,2013-12-10,http://avoindata.prh.fi/opendata/tr/v1/2587045-9,OY
2583600-7,VePe Oy Remontti Lähdesmäki,,,2013-11-27,http://avoindata.prh.fi/opendata/tr/v1/2583600-7,OY
2581890-9,Profin Sydänpuu ikkunat ja ovet Oy,,,2013-11-22,http://avoindata.prh.fi/opendata/tr/v1/2581890-9,OY
2560397-5,Porin Ässäremontti Oy,,,2013-08-02,http://avoindata.prh.fi/opendata/tr/v1/2560397-5,OY
2552160-3,Neovet Oy,,,2013-07-11,http://avoindata.prh.fi/opendata/tr/v1/2552160-3,OY
2553591-7,Kattogroup Oy,,,2013-06-20,http://avoindata.prh.fi/opendata/tr/v1/2553591-7,OY
2553054-2,HS Muuraus ja Laatoitus Oy,,,2013-06-18,http://avoindata.prh.fi/opendata/tr/v1/2553054-2,OY
2539246-9,RD-Katto Oy,,,2013-04-25,http://avoindata.prh.fi/opendata/tr/v1/2539246-9,OY
2542518-7,Varsinais-Suomen Kattopalvelu Oy,,,2013-04-24,http://avoindata.prh.fi/opendata/tr/v1/2542518-7,OY
2535474-5,Tapsan Remonttipalvelu Oy,,,2013-04-03,http://avoindata.prh.fi/opendata/tr/v1/2535474-5,OY
2523364-4,Flooring Pro Finland Oy,,,2013-02-12,http://avoindata.prh.fi/opendata/tr/v1/2523364-4,OY
2525844-6,Remonttipalvelut S. Martiskainen OY,,,2013-02-01,http://avoindata.prh.fi/opendata/tr/v1/2525844-6,OY
2523698-4,Suomen Vahva-Katto Oy,,,2013-01-31,http://avoindata.prh.fi/opendata/tr/v1/2523698-4,OY
2523211-5,AP-Laatoitus Oy,,,2013-01-25,http://avoindata.prh.fi/opendata/tr/v1/2523211-5,OY
2523195-6,Helsingin Kattopalvelu Oy,,,2013-01-23,http://avoindata.prh.fi/opendata/tr/v1/2523195-6,OY
2548190-4,Ab Vasa Bygg och Remont - Vaasan Rakennus ja Remontti Oy,,,2013-05-24,http://avoindata.prh.fi/opendata/tr/v1/2548190-4,OY
2539845-7,First Choice Remontti Oy,,,2013-05-08,http://avoindata.prh.fi/opendata/tr/v1/2539845-7,OY
2607933-5,EnviroVet Oy,,,2014-03-21,http://avoindata.prh.fi/opendata/tr/v1/2607933-5,OY
